tSNE1,tSNE2,Split,Folder
-32.91591,6.609832,Total,1UUI_2-chloro-10-pyrrolidin_phenothiazine_der
-31.444914,5.556248,Total,"1UUI_3-(2-chloro-10H-phenothiazin-10-yl)-N,N-dimethylpropan-1-amine"
-29.998915,4.631282,Total,"1UUI_3-(2-methoxy-10H-phenothiazin-10-yl)-N,N-dimethylpropan-1-amine"
-30.766708,4.642996,Total,"1UUI_3-(3,7-dimethyl-10H-phenothiazin-10-yl)-N,N-dimethylpropan-1-amine"
-29.580015,4.3726296,Total,"1UUI_3-(4-methoxy-10H-phenothiazin-10-yl)-N,N-dimethylpropan-1-amine"
-25.90665,4.0744076,Total,1UUI_3_phenothiazine_analog_1
-25.452328,5.1590157,Total,1UUI_3_phenothiazine_analog_2
-31.554052,7.7332664,Total,1UUI_3_phenothiazine_analog_3
-28.107447,4.056986,Total,1UUI_Acetylpromazine
25.821602,-16.932188,Strat,1UUI_Amikacin
9.276078,-0.031093698,Total,1UUI_Argininamide
-34.372307,4.6294537,Total,1UUI_Bis-3-chloropiperidine_2
-38.2018,4.572683,Total,1UUI_Bis-3-chloropiperidine_5
25.754932,-16.894888,Total,1UUI_Butirosin
10.699178,-1.4684337,Total,1UUI_CMC2_tetraaminoquinozaline
-7.2786355,-28.798412,Total,1UUI_CMC3-2_Hoechst33258
-7.2999654,-28.967085,Total,1UUI_CMC3_Hoechst33258
14.568169,-17.144295,Total,1UUI_Compound_3aa
14.510356,-17.066126,Total,1UUI_Compound_3ab
14.694392,-17.297033,Total,1UUI_Compound_3cb
-8.192143,-31.930088,Total,1UUI_DB60
-9.596496,-34.44244,Strat,1UUI_DB75
-7.301625,-33.804783,Total,1UUI_DMA-169
-7.065035,-32.84385,Total,1UUI_DMA-177
-6.8179784,-33.30884,Total,1UUI_DMA-179
-7.961213,-34.199398,Total,1UUI_DMA-187
-7.098103,-34.802372,Total,1UUI_DMA-188
-6.4882045,-33.509045,Total,1UUI_DMA-191
-6.053977,-32.717583,Total,1UUI_DMA-193
-8.395504,-33.51564,Total,1UUI_DMA-205
1.7678403,-16.537518,Total,1UUI_Mitoxantrone
-30.505928,6.3027706,Total,"1UUI_N,N-dimethyl-3-(10H-phenothiazin-10-yl)propan-1-amine"
7.202853,-44.88156,Total,"1UUI_N,N-dimethyl-3-(2-(trifluoromethyl)-10H-phenothiazin-10-yl)propan-1-amine"
-30.758087,4.675477,Strat,"1UUI_N,N-dimethyl-3-(3-methyl-10H-phenothiazin-10-yl)propan-1-amine"
-14.508377,23.32127,Total,1UUI_N_N_dimethyl_amiloride
27.487795,-16.478197,Total,1UUI_Neomycin
-23.276892,-1.5580161,Total,1UUI_Quinacridone
10.695305,-1.4627092,Total,1UUI_Quinoxaline_3
-8.857509,-37.81038,Total,1UUI_S-Amino_acid_conjugate_13b
-8.853781,-37.837456,Total,1UUI_S-Amino_acid_conjugate_14b
-8.798649,-35.39956,Total,1UUI_S-Amino_acid_conjugate_1b
-40.318478,4.673958,Total,1UUI_SMN2_compound_6
8.601272,-43.528133,Total,1UUI_ST4133609
-32.116486,3.4424849,Total,1UUI_Thiethylperazine
6.950602,-44.93786,Total,1UUI_Trifluoperazine
1.570682,-13.949305,Total,1UUI_Usnic_acid
-14.030508,-13.47639,Total,1UUI_WM5
-7.481724,9.099761,Strat,1UUI_Xanthinol
-7.4697776,-7.7166815,Total,1UUI_Yohimbine
-33.03618,6.907954,Total,1UUI_benzyl_phenothiazin_der
-32.16633,4.4195538,Total,1UUI_chloro_methylpiperazinyl_propyl_phenothiazine_der
-32.742344,5.0215316,Strat,1UUI_chloro_piperidine_propyl_der
-31.056473,7.150658,Total,1UUI_choro_imidazole_phenothiazine_der
-7.0288363,-8.064557,Total,1UUI_cpd25
-28.449453,5.4129596,Strat,1UUI_dimethylamino_propyl_phenothiazin_der_2
-26.59368,3.4112954,Total,1UUI_hydroxymethyl_piperidinyl_butyl
-26.83754,2.9972496,Total,1UUI_hydroxymethyl_piperidinyl_pentyl
